1 1
14 19
20 20
1 0 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0
1 0 0 1 1 1 0 0 0 1 0 1 0 0 1 0 1 1 0 0
0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 1 1 0
0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0
1 0 0 1 1 0 0 1 1 1 0 0 0 0 0 1 1 0 0 0
0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0
1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0
0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0
1 0 0 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 1
0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
0 0 0 1 1 1 0 1 1 0 0 0 1 1 0 1 0 1 0 0
1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 1 0 1 0
0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 1
0 1 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 0 1 0 0 0
1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1
0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1
0 0 1 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0
